decimalLongitude,decimalLatitude,basisOfRecord,scientificName,remark
131.490995,43.180515,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.494024,43.177389,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.988022,43.218487,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
119.491079,40.050407,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.210158,42.583978,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.215972,42.59755,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.885972,43.046061,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.974547,43.220137,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.979867,43.217802,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
125.465756,43.791233,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.530603,44.47655,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.881409,42.964344,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.988998,43.218655,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.105698,43.182285,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
124.850958,46.638401,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
141.58377,43.161911,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.844617,42.766086,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.845858,42.772292,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.086796,35.159823,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.82631,37.486368,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.081671,35.157452,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.890274,43.02795,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.902469,42.787856,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.898789,42.792656,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.841461,42.793889,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.056975,43.256092,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
117.458687,40.596277,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.21564,42.641177,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.996353,43.224145,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
133.823593,43.214844,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.9552,43.472228,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
117.45361,40.593655,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.82933,43.306572,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.954133,43.397978,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.46322,50.276497,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
136.599075,36.159103,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.902878,42.963578,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.89357,43.028072,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.905563,42.959962,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.055283,43.25653,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
135.817794,44.349633,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.903442,42.963913,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.947006,43.0885,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.948638,43.391898,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.888655,43.047731,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.888262,42.98273,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.861298,43.160187,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.992722,43.221756,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.850967,43.081447,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.658522,42.86602,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.055953,43.215838,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.888655,43.047731,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
139.497637,36.739425,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
138.429418,36.783439,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.420822,35.695667,PRESERVED_SPECIMEN,Quercus mongolica,Quercus mongolica
132.073578,43.211361,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.882538,42.974037,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.109056,42.399405,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.881866,42.974766,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
133.227415,42.749349,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
145.66098,43.983688,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.833633,43.044109,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
139.175551,35.902135,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.913406,42.994267,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
117.251022,40.340775,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
117.254233,40.336475,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.736739,39.931125,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.764857,46.953398,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.286178,37.055931,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.573797,38.087295,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.013611,47.263008,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.021028,47.261686,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.013275,47.262719,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.016219,47.263156,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
140.660129,41.644064,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
138.347687,36.523633,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.95882,43.400449,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.469493,40.946533,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.424592,44.139367,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.898689,42.976369,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.46123299999999,40.950835,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.759262,40.541513,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.474867,40.946802,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.216308,42.579497,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.014912,40.576478,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.762505,40.545318,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.758928,40.540438,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
136.34002,44.898748,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
136.564328,44.955127,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
145.507355,43.862571,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.832649,42.944742,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.025602,40.614412,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.756462,40.560025,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.453928,40.02422,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.759262,40.541513,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.273743,37.974067,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
133.506503,45.238272,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
137.658432,36.128061,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
138.206842,36.820744,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
138.20676,36.820727,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.76532,40.523645,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
141.986189,47.289078,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.882708,43.049481,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.643158,40.516117,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.537809,35.768725,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.126467,35.814919,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.798325,43.226837,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.9312,43.013504,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.594688,38.181471,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.971434,43.084851,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.042245,44.821418,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.038346,44.824434,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.043203,44.822395,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.03728,44.814803,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.041901,44.82277,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.020512,44.828246,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.036916,44.810227,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
145.446703,43.727125,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.523713,35.7602,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
134.072022,43.494612,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.554928,40.10626,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.556483,40.108447,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.585742,39.829385,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
138.063005,36.764238,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.5799,39.833066,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.035653,40.077733,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.043953,40.083383,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
143.16774,46.850906,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.035239,40.077431,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.172634,43.384485,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.404242,43.325849,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
133.198214,42.712956,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
133.199598,42.726879,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.903762,42.96348,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.781508,40.538081,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.032689,35.314364,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.032689,35.314364,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.583939,36.071989,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.20584,36.48473,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.021518,35.311374,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.032945,35.314292,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.584705,36.072857,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.20568,36.48488,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.20568,36.48488,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.19284,36.48115,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.003133,34.410178,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.033188,35.314384,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.033188,35.314384,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.033188,35.314384,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.033188,35.314384,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.024435,35.31268,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.024435,35.31268,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.590199,36.07457,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.585927,36.075928,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.024418,35.312884,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.003063,34.410832,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.000572,35.245732,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.20478,36.48487,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.192417,36.481134,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.192417,36.481134,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.20488,36.484896,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.573713,36.071676,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.573713,36.071676,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.025074,35.314171,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.573355,36.072256,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.000913,35.250432000000004,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.000913,35.250432000000004,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.013337,34.410086,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.20543,36.48499,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.024998,35.913037,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.00107,35.245961,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.00107,35.245961,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.573579,36.073182,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.573579,36.073182,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.192417,36.481134,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.19214,36.481298,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
